part_id,child_part_number,description,child_rev,lineside_location_id,quantity_per_build,min_qty,max_qty
4681,1664-2024,LRAM BOTTOM PANEL,A,711,1,30,40
3060,16-002190,"DETENT PIN, 4-40 UNC THREADED, SNAP LOCK",A,711,3,90,120
4699,1664-2002,LRAM RIGHT CHASSIS,C,711,1,30,40
4701,1664-2003,LRAM LEFT CHASSIS,C,711,1,30,40
3065,1664-2006,LRAM COVER PANEL,A,711,1,30,40
3054,1664-2007,LRAM FRONT PANEL,A,711,1,30,40
3061,1664-2009,LRAM CHASSIS CROSSBAR,A,711,4,120,160
3056,1664-2010,SMARTPOWER EMI SHIELD,A,711,1,30,40
4439,1664-2011,POL EMI SHIELD,B,711,1,30,40
4180,1664-2012,POL EMI SHIELD PLATE,C,711,1,30,40
3916,1664-2013,"THERMAL INTERFACE, HPA TO LRAM",A,711,2,60,80
3919,1664-2014,"THERMAL INTERFACE, DAB TO HPA",A,711,1,30,40
3920,1664-2015,"THERMAL INTERFACE, SMARTPOWER, A",A,711,1,30,40
3921,1664-2016,"THERMAL INTERFACE, SMARTPOWER, B",A,711,1,30,40
3922,1664-2017,"THERMAL INTERFACE, SMARTPOWER, C",A,711,1,30,40
3923,1664-2018,"THERMAL INTERFACE, SMARTPOWER, D",A,711,1,30,40
1273,1664-2068,"THERMAL INTERFACE, POINT OF LOAD",A,711,3,90,120
1739,1664-2602,"CABLE ASSEMBLY, POWER, POL TO SP",D,711,1,30,40
1718,1664-2604,,D,711,1,30,40
5124,1664-2606-001,"CABLE ASSEMBLY, POWER, LRAM INTERNAL",H,711,1,30,40
5125,1664-2606-002,"CABLE ASSEMBLY, POWER, LRAM INTERNAL",H,711,1,30,40
5126,1664-2606-003,"CABLE ASSEMBLY, POWER, LRAM INTERNAL",H,711,1,30,40
1207,91306A246,SCREW BH  HEX ,A,711,36,1080,1440
1215,NAS1352N04-4,"SCREW, #4-40 x 1/4, SHCS, HEAT RESISTANT STEEL, PASSIVATED",A,711,40,1200,1600
1218,NAS1352N04-5,"SCREW, #4-40 x 5/16, SHCS, HEAT RESISTANT STEEL, PASSIVATED",A,711,7,210,280
1342,NAS1352N04-6,"SCREW, #4-40 x 3/8, SHCS, HEAT RESISTANT STEEL, PASSIVATED",A,711,22,660,880
3057,NAS1352N06-10,"SCREW, #6-32 x 5/8, SHCS, HEAT RESISTANT STEEL, PASSIVATED",A,711,8,240,320
1559,NAS1352N06-4,"SCREW, #6-32 x 1/4, SHCS, HEAT RESISTANT STEEL, PASSIVATED",A,711,26,780,1040
3248,P1CA-2SAMRA-SS141-7-180,,A,711,1,30,40
3249,P1CA-2SAMRA-SS141-7-180-W,,A,711,1,30,40
3241,P1CA-SAMSAMRA-SS085-6.5-W,,A,711,1,30,40
122,PSMP-FSBA-1000,RF ADAPTER 10mm BULLET,A,711,2,60,80
3924,1664-2019,"THERMAL INTERFACE, SMARTPOWER, E",A,711,1,30,40
4503,P1CA-2SAMRA-SS085-12-90-3PM,,A,711,1,30,40
4504,P1CA-2SAMRA-SS085-7-90-3PM-W,,A,711,2,60,80
4506,P1CA-2SAMRA-SS085-9-90-3PM-W,,A,711,2,60,80
3227,1664-2008M1,LRAM REAR BULKHEAD SubAssy,A,711,1,30,40
5888,VLF-120+,FILTER/SMA,A,711,4,120,160
113,NAS620C4,#4 Washer,A,711,18,540,720
